Symbol,Yahoo Symbol,Company Name,Industry
ACC,ACC.NS,ACC Ltd.,CEMENT & CEMENT PRODUCTS
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,SERVICES
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS
ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,CONSUMER GOODS
AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Ltd.,PHARMA
AXISBANK,AXISBANK.NS,Axis Bank Ltd.,FINANCIAL SERVICES
BANKBARODA,BANKBARODA.NS,Bank of Baroda,FINANCIAL SERVICES
BHEL,BHEL.NS,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING
BPCL,BPCL.NS,Bharat Petroleum Corporation Ltd.,ENERGY
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Ltd.,TELECOM
INFRATEL,INFRATEL.NS,Bharti Infratel Ltd.,TELECOM
BOSCHLTD,BOSCHLTD.NS,Bosch Ltd.,AUTOMOBILE
CIPLA,CIPLA.NS,Cipla Ltd.,PHARMA
COALINDIA,COALINDIA.NS,Coal India Ltd.,METALS
DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,PHARMA
EICHERMOT,EICHERMOT.NS,Eicher Motors Ltd.,AUTOMOBILE
GAIL,GAIL.NS,GAIL (India) Ltd.,ENERGY
GRASIM,GRASIM.NS,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS
HCLTECH,HCLTECH.NS,HCL Technologies Ltd.,IT
HDFCBANK,HDFCBANK.NS,HDFC Bank Ltd.,FINANCIAL SERVICES
HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp Ltd.,AUTOMOBILE
HINDALCO,HINDALCO.NS,Hindalco Industries Ltd.,METALS
HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Ltd.,CONSUMER GOODS
HDFC,HDFC.NS,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES
ITC,ITC.NS,I T C Ltd.,CONSUMER GOODS
ICICIBANK,ICICIBANK.NS,ICICI Bank Ltd.,FINANCIAL SERVICES
IDEA,IDEA.NS,Idea Cellular Ltd.,TELECOM
INDUSINDBK,INDUSINDBK.NS,IndusInd Bank Ltd.,FINANCIAL SERVICES
INFY,INFY.NS,Infosys Ltd.,IT
KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES
LT,LT.NS,Larsen & Toubro Ltd.,CONSTRUCTION
LUPIN,LUPIN.NS,Lupin Ltd.,PHARMA
MARUTI,MARUTI.NS,Maruti Suzuki India Ltd.,AUTOMOBILE
NTPC,NTPC.NS,NTPC Ltd.,ENERGY
ONGC,ONGC.NS,Oil & Natural Gas Corporation Ltd.,ENERGY
POWERGRID,POWERGRID.NS,Power Grid Corporation of India Ltd.,ENERGY
RELIANCE,RELIANCE.NS,Reliance Industries Ltd.,ENERGY
SBIN,SBIN.NS,State Bank of India,FINANCIAL SERVICES
SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,PHARMA
TCS,TCS.NS,Tata Consultancy Services Ltd.,IT
TATAMTRDVR,TATAMTRDVR.NS,Tata Motors Ltd DVR,AUTOMOBILE
TATAMOTORS,TATAMOTORS.NS,Tata Motors Ltd.,AUTOMOBILE
TATAPOWER,TATAPOWER.NS,Tata Power Co. Ltd.,ENERGY
TATASTEEL,TATASTEEL.NS,Tata Steel Ltd.,METALS
TECHM,TECHM.NS,Tech Mahindra Ltd.,IT
ULTRACEMCO,ULTRACEMCO.NS,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS
WIPRO,WIPRO.NS,Wipro Ltd.,IT
YESBANK,YESBANK.NS,Yes Bank Ltd.,FINANCIAL SERVICES
ZEEL,ZEEL.NS,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT
NSEI,^NSEI,Nifty 50 Index,
